GISPROPNUM,OMPPROPID,the_geom,OBJECTID,DEPARTMENT,PERMITDIST,PERMITPARE,PARENTID,LOCATION,COMMUNITYB,COUNCILDIS,PRECINCT,ZIPCODE,BOROUGH,ACRES,RETIRED,EAPPLY,PIP_RATABL,GISOBJID,CLASS,COMMISSION,ACQUISITIO,ADDRESS,JURISDICTI,MAPPED,NAME311,PERMIT,SIGNNAME,SUBCATEGOR,TYPECATEGO,URL,WATERFRONT,NYS_ASSEMB,NYS_SENATE,US_CONGRES,GlobalID,lat,lng
Q507,Q507,"MULTIPOLYGON (((-73.9350380172144 40.75305205666937, -73.93509000564336 40.75299587100036, -73.9353855105771 40.7531539957652, -73.93533352227485 40.75321018066581, -73.9350380172144 40.75305205666937)))",28295,Q-01,,,Q-01,29 St. bet. 40 Ave. and 39 Ave.,401,26,,11101,Q,0.057,FALSE,,,100024485,PARK,11/30/1899 12:00:00 AM +0000,10/07/2015 12:00:00 AM +0000,39-22 29 STREET,DPR,FALSE,Windmill Community Garden,,Windmill Community Garden,,Garden,,No,30,12,12,{D1553DBD-8718-40B7-95E0-1B2E5B6AD619},40.75310303,-73.93521176
Q105,Q105,"MULTIPOLYGON (((-73.81245153921572 40.69914862873776, -73.81311910486518 40.69895553311206, -73.81350515006834 40.69973173885176, -73.81283757894779 40.69992483669928, -73.81245153921572 40.69914862873776)))",4900,Q-12,Q-12,Q-12,Q-12,"91 Ave., Archer Ave. bet. 138 Pl. and 138 St.",412,24,103,11435,Q,1.381,FALSE,Howard Von Dohlen Playground,Yes,100000328,PARK,04/23/2009 12:00:00 AM +0000,07/12/1934 12:00:00 AM +0000,138-02 91 AVENUE,DPR,FALSE,Howard Von Dohlen Playground,Y,Howard Von Dohlen Playground,Neighborhood Plgd,Neighborhood Park,http://www.nycgovparks.org/parks/Q105/,No,24,14,5,{7AE689B8-6E1B-4033-AFA1-AAB8EBB4B020},40.69944018,-73.81297834
Q354,Q354,"MULTIPOLYGON (((-73.80815869562873 40.72668827456649, -73.8081196392832 40.72647833367444, -73.80783352246745 40.726509141175896, -73.80782273697527 40.72645116357935, -73.80777987055605 40.72645578008691, -73.8077336726655 40.72620745185086, -73.80848075814757 40.726127011552585, -73.80858826419376 40.72664202061555, -73.80815869562873 40.72668827456649)))",5351,Q-08,Q-08,Q-08,Q-08,160 St. bet. 75 Ave. and 75 Rd.,408,24,107,11366,Q,0.749,FALSE,Playground Seventy Five,Yes,100000233,PARK,04/23/2009 12:00:00 AM +0000,03/19/1964 12:00:00 AM +0000,75-20 162 STREET,DPR/DOE,FALSE,Playground Seventy Five,Y,Playground Seventy Five,JOP,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q354/,No,25,14,6,{FDDAC8EA-F232-4301-A0DD-32D6AEFFB3A7},40.7264449,-73.80806464
B255G,B255G,"MULTIPOLYGON (((-73.98626727270292 40.65986369289656, -73.98626743586817 40.659863791972846, -73.98629578385096 40.65988206953527, -73.98632593467477 40.659902764291324, -73.9863580479243 40.6599261626227, -73.98639395137845 40.65995413781832, -73.98642561461551 40.65998101747424, -73.98645053030559 40.660002985810294, -73.98648373354348 40.66003407464558, -73.98650146631971 40.66005216270116, -73.98652859456573 40.660079834250666, -73.98655949764374 40.66011218351748, -73.98658146271657 40.66013588497423, -73.98660398228219 40.660160184434275, -73.9866387015546 40.660197646355925, -73.98666022418952 40.66022252292002, -73.986693384803 40.66026084823935, -73.98672393388449 40.66029615741796, -73.9867457683758 40.660322999829226, -73.98675916061548 40.66033946461357, -73.98677833749133 40.66036304143984, -73.98678842660742 40.660375443611244, -73.98680678988565 40.66039926527967, -73.98682267644284 40.66041987541979, -73.98684552742516 40.660449518534314, -73.98685556074804 40.66046314179362, -73.98688575886382 40.66050414485379, -73.98690020286946 40.660524401815984, -73.98691104474614 40.660539605568744, -73.98686665405639 40.660582606472644, -73.9868650684875 40.66058165534622, -73.98665326530556 40.66045204935099, -73.98651054724021 40.660365765927956, -73.98636968585905 40.66028060459051, -73.98618060217503 40.66016628757793, -73.9860405692882 40.66008162392052, -73.98626727270292 40.65986369289656)))",5802,B-07,B-07,B-07,B-07,7 Ave. bet. 18 St. and 17 St.,307,38,72,11215,B,0.442,FALSE,Butterfly Garden,Yes,100003915,PARK,01/06/2010 12:00:00 AM +0000,07/22/1953 12:00:00 AM +0000,,DPR,TRUE,Butterfly Gardens,N,Butterfly Gardens,Sitting Area/Triangle/Mall,Neighborhood Park,http://www.nycgovparks.org/parks/B255G/,No,44,21,9,{A970E609-B8E5-4134-9AD0-42B36A5320C5},40.6602261,-73.98659292
M198,M198,"MULTIPOLYGON (((-73.95090138982894 40.799963673453085, -73.95038728206615 40.800667186299734, -73.94987760164297 40.80045277486361, -73.95039171313637 40.799749264266154, -73.95090138982894 40.799963673453085)))",6410,M-10,M-10,M-10,M-10,"Lenox Ave, W. 113 St. To W. 114 St.",110,9,28,10026,M,1,FALSE,Martin Luther King Playground,Yes,100004219,PLGD,01/06/2010 12:00:00 AM +0000,06/26/1952 12:00:00 AM +0000,62 LENOX AVENUE,DPR,FALSE,Martin Luther King Jr. Park,Y,Martin Luther King Jr. Park,Neighborhood Plgd,Neighborhood Park,http://www.nycgovparks.org/parks/M198/,No,68,30,13,{174CAB58-4153-43D3-84BD-C839D3BEDC20},40.80020822,-73.9503895
X009,X009,"MULTIPOLYGON (((-73.89099225601258 40.82086741241816, -73.89040361732106 40.820866552774504, -73.89039327469322 40.8208667365506, -73.89038303974037 40.82086559849872, -73.89037319926646 40.820863172210025, -73.89036403527763 40.820859525490015, -73.890355807197 40.82085476304316, -73.890348748322 40.82084901836501, -73.89034305871071 40.820842454635965, -73.89033889926375 40.82083525931257, -73.89033638818329 40.82082763511926, -73.89033559741844 40.82081979914422, -73.89033654793857 40.82081197383021, -73.89033921567076 40.820804380676485, -73.89034352202577 40.82079723482696, -73.89034934575929 40.8207907405789, -73.89035652180581 40.82078507967554, -73.89072332775397 40.82054074487276, -73.89073738665898 40.82053248443018, -73.89075303445357 40.82052607961434, -73.89076985004942 40.8205217047221, -73.89078737926485 40.82051947548687, -73.89080515378423 40.82051945269858, -73.89082269353614 40.82052163770362, -73.89083952803378 40.8205259697234, -73.89085520347221 40.82053233486602, -73.89086929933366 40.820540559838605, -73.89088143547855 40.82055042456076, -73.89109109287779 40.82075165059169, -73.8910969879888 40.82076450985131, -73.89110001359873 40.82077793101212, -73.89110008614502 40.820791547493215, -73.89109720386519 40.820804986487296, -73.8910914455913 40.820817881566285, -73.89108296836915 40.82082987898292, -73.89107200506558 40.82084065117574, -73.89105885487535 40.820849903063746, -73.89104387619157 40.820857382845745, -73.89102748067407 40.820862884696304, -73.89101011545279 40.820866258654476, -73.89099225601258 40.82086741241816)))",6156,X-02,X-02,X-02,X-02,"Hunts Point Av, Bruckner Blvd, E 163 St",202,17,41,10459,X,0.42,FALSE,Monsignor Raul Del Valle Square,Yes,100004978,PARK,01/06/2010 12:00:00 AM +0000,03/03/1915 12:00:00 AM +0000,,DPR,TRUE,Monsignor Raul Del Valle Square,Y,Monsignor Raul Del Valle Square,Sitting Area/Triangle/Mall,Triangle/Plaza,http://www.nycgovparks.org/parks/X009/,No,85,32,15,{15AB74CE-65CA-49F1-BE1D-5E0298B125E8},40.82074634,-73.89071024
M399,M399,"MULTIPOLYGON (((-74.00065580747142 40.75509463503463, -74.00106006516593 40.75461218718994, -74.00163853933536 40.754855999442306, -74.00121825251915 40.755331050018874, -74.00065580747142 40.75509463503463)), ((-74.0000912313817 40.755768394001464, -74.00049038629695 40.75529204822991, -74.00102459255874 40.755517190844486, -74.00060705635272 40.755986526315965, -74.0000912313817 40.755768394001464)), ((-73.99959146140897 40.756364801494904, -73.99998303742333 40.75589750937372, -74.00026571941305 40.75601683050908, -74.00031486548599 40.75603757532314, -74.00033687885342 40.75604686757386, -73.99992159162088 40.75650382757774, -73.99990706242833 40.75649770863458, -73.99975127493066 40.75643210300309, -73.99959146140897 40.756364801494904)))",6607,M-04,M-04,M-04,M-04,Hudson Blvd. bet. W. 36 St. and W. 33 St.,104,3,10,"10001, 10018",M,2.148,FALSE,,No,100016513,PARK,11/30/1899 12:00:00 AM +0000,08/14/2015 12:00:00 AM +0000,,DPR,TRUE,Hudson Park,,Hudson Park,,Neighborhood Park,http://www.nycgovparks.org/parks/M399/,No,75,"31, 27",10,{64E7F92A-84E8-4DAF-8A3C-C6B443CA0A56},40.75572879,-74.00042249
X309,X309,"MULTIPOLYGON (((-73.89508086970636 40.79637706344366, -73.89510438306894 40.79520645682427, -73.89728026668915 40.79527977931266, -73.89784889638078 40.79553360443345, -73.89811053894269 40.79565039588502, -73.89912970588038 40.79610531645791, -73.89951251311642 40.79627618486838, -73.89954142131069 40.79628908812134, -73.89958162635332 40.79717018247788, -73.89790470372519 40.79787684917001, -73.8960682457797 40.79779972803357, -73.89508086970636 40.79637706344366)))",5548,X-02,X-02,X-02,X-02,East River,202,17,41,10021,X,21.10936646,FALSE,South Brother Island,No,100003800,PARK,01/06/2010 12:00:00 AM +0000,08/21/2001 12:00:00 AM +0000,,DPR,FALSE,South Brother Island,Y,South Brother Island,,Nature Area,http://www.nycgovparks.org/parks/X309/,Yes,85,34,15,{5C7715F7-1ED3-4671-BB78-C67E950E1410},40.79632406,-73.89774211
B168,B168,"MULTIPOLYGON (((-73.96030604864147 40.710347492775156, -73.96039886386379 40.7103157394065, -73.96073423987885 40.71040940117165, -73.96077693115005 40.71049578553224, -73.9605637088616 40.71084224279707, -73.96045953633174 40.71085314917075, -73.96015889728116 40.71074584149034, -73.9601282838959 40.71068419722186, -73.96030604864147 40.710347492775156)))",5097,B-01,B-01,B-01,B-01,S. 4 St. bet. S. 5 Pl. and Roebling St.,301,34,90,11211,B,0.532,FALSE,Continental Army Plaza,Yes,100004087,PARK,01/06/2010 12:00:00 AM +0000,02/01/1938 12:00:00 AM +0000,215 BROADWAY,DPR,FALSE,Continental Army Plaza,Y,Continental Army Plaza,Sitting Area/Triangle/Mall,Triangle/Plaza,http://www.nycgovparks.org/parks/B168/,No,53,18,7,{C22FAA62-9B76-49EB-A969-F9035FC5424F},40.71058673,-73.96044081
B486,B486,"MULTIPOLYGON (((-73.90176447842659 40.658083372973394, -73.90181458911144 40.658061014491814, -73.90187327272403 40.65829185993487, -73.9018021251312 40.65830248655589, -73.90170110627434 40.65831757398596, -73.90154184613858 40.65841480169635, -73.90148885722121 40.65820635322579, -73.90174826432796 40.65809060828863, -73.90176447842659 40.658083372973394)), ((-73.90073333607342 40.65854117517621, -73.90096309868969 40.65843814964427, -73.9009799417126 40.65850522025942, -73.90073333607342 40.65854117517621)))",6229,B-16,B-16,B-16,B-16,"New Lots Ave. bet. Sackman St., Powell St. and Junius St.",316,42,73,11212,B,0.19,FALSE,Powell St Block Association,No,100003700,PARK,01/06/2010 12:00:00 AM +0000,11/20/2002 12:00:00 AM +0000,93 NEW LOTS AVENUE,DPR,FALSE,Green Valley Garden,N,Green Valley Garden,Greenthumb,Garden,http://www.nycgovparks.org/parks/B486/,No,60,19,8,{1DEB5AE8-067C-40FD-B087-D3026A179216},40.658278,-73.90151462
